sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-05-13T23:50:56.263282+08:00,0.172,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
2,2026-05-13T23:50:57.259019+08:00,1.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
3,2026-05-13T23:50:58.258137+08:00,2.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
4,2026-05-13T23:50:59.259037+08:00,3.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
5,2026-05-13T23:51:00.256778+08:00,4.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
6,2026-05-13T23:51:01.259057+08:00,5.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
7,2026-05-13T23:51:02.259048+08:00,6.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
8,2026-05-13T23:51:03.258622+08:00,7.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
9,2026-05-13T23:51:04.255075+08:00,8.162,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
10,2026-05-13T23:51:05.259088+08:00,9.170,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
11,2026-05-13T23:51:06.259085+08:00,10.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
12,2026-05-13T23:51:07.258722+08:00,11.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
13,2026-05-13T23:51:08.257867+08:00,12.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
14,2026-05-13T23:51:09.258634+08:00,13.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
15,2026-05-13T23:51:10.257549+08:00,14.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
16,2026-05-13T23:51:11.258698+08:00,15.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
17,2026-05-13T23:51:12.259168+08:00,16.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
18,2026-05-13T23:51:13.256016+08:00,17.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
19,2026-05-13T23:51:14.257148+08:00,18.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
20,2026-05-13T23:51:15.257168+08:00,19.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
21,2026-05-13T23:51:16.258640+08:00,20.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
22,2026-05-13T23:51:17.256750+08:00,21.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
23,2026-05-13T23:51:18.258786+08:00,22.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
24,2026-05-13T23:51:19.258788+08:00,23.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
25,2026-05-13T23:51:20.259273+08:00,24.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
