sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-05-13T23:59:42.368157+08:00,0.172,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
2,2026-05-13T23:59:43.360593+08:00,1.163,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
3,2026-05-13T23:59:44.364583+08:00,2.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
4,2026-05-13T23:59:45.361203+08:00,3.164,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
5,2026-05-13T23:59:46.364486+08:00,4.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
6,2026-05-13T23:59:47.360830+08:00,5.164,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
7,2026-05-13T23:59:48.364547+08:00,6.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
8,2026-05-13T23:59:49.361854+08:00,7.165,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
9,2026-05-13T23:59:50.361852+08:00,8.164,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
10,2026-05-13T23:59:51.364582+08:00,9.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
11,2026-05-13T23:59:52.364288+08:00,10.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
12,2026-05-13T23:59:53.361754+08:00,11.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
13,2026-05-13T23:59:54.364629+08:00,12.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
14,2026-05-13T23:59:55.364680+08:00,13.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
15,2026-05-13T23:59:56.361910+08:00,14.164,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
16,2026-05-13T23:59:57.361830+08:00,15.164,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
17,2026-05-13T23:59:58.364680+08:00,16.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
18,2026-05-13T23:59:59.363214+08:00,17.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
19,2026-05-14T00:00:00.361704+08:00,18.165,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
20,2026-05-14T00:00:01.364525+08:00,19.172,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
21,2026-05-14T00:00:02.362392+08:00,20.165,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
22,2026-05-14T00:00:03.361912+08:00,21.165,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
23,2026-05-14T00:00:04.361560+08:00,22.164,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
24,2026-05-14T00:00:05.360468+08:00,23.163,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
25,2026-05-14T00:00:06.365037+08:00,24.170,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
