sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-05-18T01:28:24.081625+08:00,0.174,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
2,2026-05-18T01:28:25.072220+08:00,1.164,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
3,2026-05-18T01:28:26.073347+08:00,2.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
4,2026-05-18T01:28:27.077014+08:00,3.171,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
5,2026-05-18T01:28:28.074659+08:00,4.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
6,2026-05-18T01:28:29.074004+08:00,5.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
7,2026-05-18T01:28:30.074145+08:00,6.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
8,2026-05-18T01:28:31.076434+08:00,7.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
9,2026-05-18T01:28:32.073431+08:00,8.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
10,2026-05-18T01:28:33.074688+08:00,9.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
11,2026-05-18T01:28:34.075677+08:00,10.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
12,2026-05-18T01:28:35.077108+08:00,11.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
13,2026-05-18T01:28:36.073689+08:00,12.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
14,2026-05-18T01:28:37.074448+08:00,13.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
15,2026-05-18T01:28:38.077145+08:00,14.171,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
16,2026-05-18T01:28:39.077157+08:00,15.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
17,2026-05-18T01:28:40.077166+08:00,16.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
18,2026-05-18T01:28:41.076457+08:00,17.170,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
19,2026-05-18T01:28:42.077188+08:00,18.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
20,2026-05-18T01:28:43.073030+08:00,19.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
21,2026-05-18T01:28:44.073748+08:00,20.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
22,2026-05-18T01:28:45.077185+08:00,21.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
23,2026-05-18T01:28:46.077221+08:00,22.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
24,2026-05-18T01:28:47.073022+08:00,23.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
25,2026-05-18T01:28:48.074208+08:00,24.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
