sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-05-18T01:42:27.626038+08:00,0.175,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
2,2026-05-18T01:42:28.619505+08:00,1.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
3,2026-05-18T01:42:29.616325+08:00,2.165,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
4,2026-05-18T01:42:30.620159+08:00,3.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
5,2026-05-18T01:42:31.620188+08:00,4.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
6,2026-05-18T01:42:32.616273+08:00,5.166,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
7,2026-05-18T01:42:33.620220+08:00,6.171,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
8,2026-05-18T01:42:34.617620+08:00,7.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
9,2026-05-18T01:42:35.618471+08:00,8.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
10,2026-05-18T01:42:36.618481+08:00,9.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
11,2026-05-18T01:42:37.619031+08:00,10.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
12,2026-05-18T01:42:38.620282+08:00,11.170,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
13,2026-05-18T01:42:39.620302+08:00,12.170,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
14,2026-05-18T01:42:40.619061+08:00,13.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
15,2026-05-18T01:42:41.620333+08:00,14.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
16,2026-05-18T01:42:42.620346+08:00,15.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
17,2026-05-18T01:42:43.620354+08:00,16.170,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
18,2026-05-18T01:42:44.618124+08:00,17.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
19,2026-05-18T01:42:45.620381+08:00,18.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
20,2026-05-18T01:42:46.618755+08:00,19.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
21,2026-05-18T01:42:47.617724+08:00,20.167,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
22,2026-05-18T01:42:48.620415+08:00,21.169,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
23,2026-05-18T01:42:49.619338+08:00,22.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
24,2026-05-18T01:42:50.619160+08:00,23.168,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
25,2026-05-18T01:42:51.615506+08:00,24.164,1999,0.5,> cmd_pwm_measure2_read: 1999Hz 0.5%
