sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-04-19T13:47:54.371997+08:00,0.185,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
2,2026-04-19T13:47:55.355374+08:00,1.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
3,2026-04-19T13:47:56.355431+08:00,2.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
4,2026-04-19T13:47:57.352198+08:00,3.165,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
5,2026-04-19T13:47:58.355406+08:00,4.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
6,2026-04-19T13:47:59.351125+08:00,5.163,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
7,2026-04-19T13:48:00.355413+08:00,6.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
8,2026-04-19T13:48:01.355410+08:00,7.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
9,2026-04-19T13:48:02.350910+08:00,8.164,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
10,2026-04-19T13:48:03.354261+08:00,9.167,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
11,2026-04-19T13:48:04.355497+08:00,10.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
12,2026-04-19T13:48:05.355442+08:00,11.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
13,2026-04-19T13:48:06.353679+08:00,12.167,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
14,2026-04-19T13:48:07.350746+08:00,13.164,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
15,2026-04-19T13:48:08.354608+08:00,14.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
16,2026-04-19T13:48:09.351581+08:00,15.164,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
17,2026-04-19T13:48:10.355475+08:00,16.167,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
18,2026-04-19T13:48:11.355493+08:00,17.168,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
19,2026-04-19T13:48:12.351458+08:00,18.164,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
20,2026-04-19T13:48:13.353299+08:00,19.166,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
21,2026-04-19T13:48:14.352433+08:00,20.165,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
22,2026-04-19T13:48:15.353509+08:00,21.165,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
23,2026-04-19T13:48:16.352302+08:00,22.165,19997,75.0,> cmd_pwm_measure2_read: 19997Hz 75.0%
