sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-05-11T23:52:48.906820+08:00,0.179,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
2,2026-05-11T23:52:49.896719+08:00,1.169,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
3,2026-05-11T23:52:50.895818+08:00,2.168,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
4,2026-05-11T23:52:51.894930+08:00,3.167,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
5,2026-05-11T23:52:52.896710+08:00,4.169,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
6,2026-05-11T23:52:53.896685+08:00,5.168,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
7,2026-05-11T23:52:54.894547+08:00,6.167,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
8,2026-05-11T23:52:55.896737+08:00,7.170,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
9,2026-05-11T23:52:56.896727+08:00,8.170,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
10,2026-05-11T23:52:57.896730+08:00,9.170,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
11,2026-05-11T23:52:58.896747+08:00,10.169,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
12,2026-05-11T23:52:59.896751+08:00,11.170,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
13,2026-05-11T23:53:00.891742+08:00,12.165,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
14,2026-05-11T23:53:01.896762+08:00,13.173,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
15,2026-05-11T23:53:02.896749+08:00,14.170,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
16,2026-05-11T23:53:03.893874+08:00,15.167,20009,0.1,> cmd_pwm_measure2_read: 20009Hz 0.1%
