sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-05-11T23:36:34.901634+08:00,0.178,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
2,2026-05-11T23:36:35.892788+08:00,1.170,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
3,2026-05-11T23:36:36.892781+08:00,2.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
4,2026-05-11T23:36:37.888709+08:00,3.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
5,2026-05-11T23:36:38.892773+08:00,4.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
6,2026-05-11T23:36:39.892798+08:00,5.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
7,2026-05-11T23:36:40.892807+08:00,6.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
8,2026-05-11T23:36:41.890797+08:00,7.168,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
9,2026-05-11T23:36:42.889572+08:00,8.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
10,2026-05-11T23:36:43.892818+08:00,9.170,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
11,2026-05-11T23:36:44.889752+08:00,10.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
12,2026-05-11T23:36:45.892822+08:00,11.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
13,2026-05-11T23:36:46.888821+08:00,12.166,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
14,2026-05-11T23:36:47.892177+08:00,13.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
15,2026-05-11T23:36:48.887857+08:00,14.165,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
16,2026-05-11T23:36:49.888708+08:00,15.164,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
17,2026-05-11T23:36:50.892173+08:00,16.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
18,2026-05-11T23:36:51.892828+08:00,17.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
19,2026-05-11T23:36:52.892837+08:00,18.169,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
20,2026-05-11T23:36:53.889603+08:00,19.167,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
21,2026-05-11T23:36:54.887900+08:00,20.164,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
22,2026-05-11T23:36:55.892847+08:00,21.171,0,100.0,> cmd_pwm_measure2_read: 0Hz 100.0%
