sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-04-19T11:35:34.307008+08:00,0.186,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
2,2026-04-19T11:35:35.286022+08:00,1.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
3,2026-04-19T11:35:36.286439+08:00,2.165,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
4,2026-04-19T11:35:37.285097+08:00,3.163,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
5,2026-04-19T11:35:38.289345+08:00,4.167,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
6,2026-04-19T11:35:39.286565+08:00,5.165,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
7,2026-04-19T11:35:40.284970+08:00,6.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
8,2026-04-19T11:35:41.287675+08:00,7.166,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
9,2026-04-19T11:35:42.287545+08:00,8.166,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
10,2026-04-19T11:35:43.286440+08:00,9.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
11,2026-04-19T11:35:44.285852+08:00,10.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
12,2026-04-19T11:35:45.289720+08:00,11.168,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
13,2026-04-19T11:35:46.287667+08:00,12.166,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
14,2026-04-19T11:35:47.289720+08:00,13.168,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
15,2026-04-19T11:35:48.285125+08:00,14.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
16,2026-04-19T11:35:49.286239+08:00,15.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
17,2026-04-19T11:35:50.289750+08:00,16.168,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
18,2026-04-19T11:35:51.285759+08:00,17.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
19,2026-04-19T11:35:52.287209+08:00,18.166,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
20,2026-04-19T11:35:53.285635+08:00,19.164,19997,50.0,> cmd_pwm_measure2_read: 19997Hz 50.0%
