sample_index,timestamp_iso,elapsed_seconds,freq_hz,duty_percent,raw_response
1,2026-05-11T23:44:07.440713+08:00,0.176,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
2,2026-05-11T23:44:08.427959+08:00,1.167,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
3,2026-05-11T23:44:09.431490+08:00,2.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
4,2026-05-11T23:44:10.427307+08:00,3.165,20008,98.1,> cmd_pwm_measure2_read: 20008Hz 98.1%
5,2026-05-11T23:44:11.427031+08:00,4.164,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
6,2026-05-11T23:44:12.431916+08:00,5.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
7,2026-05-11T23:44:13.428866+08:00,6.166,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
8,2026-05-11T23:44:14.427353+08:00,7.164,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
9,2026-05-11T23:44:15.431909+08:00,8.171,20008,98.1,> cmd_pwm_measure2_read: 20008Hz 98.1%
10,2026-05-11T23:44:16.431910+08:00,9.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
11,2026-05-11T23:44:17.427259+08:00,10.164,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
12,2026-05-11T23:44:18.430257+08:00,11.166,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
13,2026-05-11T23:44:19.431931+08:00,12.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
14,2026-05-11T23:44:20.429772+08:00,13.167,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
15,2026-05-11T23:44:21.431825+08:00,14.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
16,2026-05-11T23:44:22.431970+08:00,15.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
17,2026-05-11T23:44:23.431945+08:00,16.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
18,2026-05-11T23:44:24.431618+08:00,17.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
19,2026-05-11T23:44:25.428665+08:00,18.166,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
20,2026-05-11T23:44:26.427402+08:00,19.165,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
21,2026-05-11T23:44:27.431943+08:00,20.171,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
22,2026-05-11T23:44:28.427498+08:00,21.165,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
23,2026-05-11T23:44:29.431964+08:00,22.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
24,2026-05-11T23:44:30.431671+08:00,23.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
25,2026-05-11T23:44:31.431972+08:00,24.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
26,2026-05-11T23:44:32.431983+08:00,25.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
27,2026-05-11T23:44:33.431986+08:00,26.171,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
28,2026-05-11T23:44:34.431969+08:00,27.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
29,2026-05-11T23:44:35.431977+08:00,28.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
30,2026-05-11T23:44:36.431977+08:00,29.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
31,2026-05-11T23:44:37.431847+08:00,30.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
32,2026-05-11T23:44:38.428776+08:00,31.167,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
33,2026-05-11T23:44:39.429777+08:00,32.167,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
34,2026-05-11T23:44:40.431992+08:00,33.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
35,2026-05-11T23:44:41.431821+08:00,34.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
36,2026-05-11T23:44:42.430743+08:00,35.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
37,2026-05-11T23:44:43.428749+08:00,36.166,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
38,2026-05-11T23:44:44.432012+08:00,37.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
39,2026-05-11T23:44:45.429663+08:00,38.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
40,2026-05-11T23:44:46.430803+08:00,39.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
41,2026-05-11T23:44:47.429193+08:00,40.167,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
42,2026-05-11T23:44:48.431867+08:00,41.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
43,2026-05-11T23:44:49.429840+08:00,42.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
44,2026-05-11T23:44:50.436323+08:00,43.174,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
45,2026-05-11T23:44:51.427830+08:00,44.165,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
46,2026-05-11T23:44:52.429337+08:00,45.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
47,2026-05-11T23:44:53.427527+08:00,46.165,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
48,2026-05-11T23:44:54.431090+08:00,47.168,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
49,2026-05-11T23:44:55.432037+08:00,48.170,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
50,2026-05-11T23:44:56.432027+08:00,49.169,20009,98.1,> cmd_pwm_measure2_read: 20009Hz 98.1%
